Probe,Prompt,Layer,Coeff,FPR_Rate,Steer_Rate
MM_L23_P0_dPrim20.27_dVal1.47.pt,Unified,23,0.0,100.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Unified,23,2.0,100.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Unified,23,5.0,100.00,0.00
MM_L23_P0_dPrim20.27_dVal1.47.pt,Unified,23,8.0,100.00,0.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Evaluation,23,-8.0,0.00,0.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Evaluation,23,-5.0,0.00,5.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Evaluation,23,-2.0,0.00,0.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Evaluation,23,0.0,0.00,0.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Evaluation,23,2.0,0.00,0.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Evaluation,23,5.0,0.00,0.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Evaluation,23,8.0,0.00,0.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Anthropic,23,-8.0,0.00,5.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Anthropic,23,-5.0,0.00,5.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Anthropic,23,-2.0,0.00,5.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Anthropic,23,0.0,0.00,0.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Anthropic,23,2.0,0.00,0.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Anthropic,23,5.0,0.00,0.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Anthropic,23,8.0,0.00,0.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Unified,23,-8.0,0.00,0.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Unified,23,-5.0,100.00,0.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Unified,23,-2.0,100.00,0.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Unified,23,0.0,100.00,5.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Unified,23,2.0,100.00,0.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Unified,23,5.0,0.00,5.00
MM_L23_P0_dPrim1.69_dVal1.35.pt,Unified,23,8.0,100.00,5.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Evaluation,22,-8.0,0.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Evaluation,22,-5.0,0.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Evaluation,22,-2.0,0.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Evaluation,22,0.0,0.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Evaluation,22,2.0,0.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Evaluation,22,5.0,0.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Evaluation,22,8.0,0.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Anthropic,22,-8.0,0.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Anthropic,22,-5.0,0.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Anthropic,22,-2.0,0.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Anthropic,22,0.0,0.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Anthropic,22,2.0,0.00,5.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Anthropic,22,5.0,0.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Anthropic,22,8.0,100.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Unified,22,-8.0,100.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Unified,22,-5.0,100.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Unified,22,-2.0,0.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Unified,22,0.0,100.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Unified,22,2.0,100.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Unified,22,5.0,100.00,0.00
MM_L22_P0_dPrim19.47_dVal1.56.pt,Unified,22,8.0,100.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Evaluation,19,-8.0,0.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Evaluation,19,-5.0,0.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Evaluation,19,-2.0,0.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Evaluation,19,0.0,0.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Evaluation,19,2.0,0.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Evaluation,19,5.0,0.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Evaluation,19,8.0,0.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Anthropic,19,-8.0,0.00,5.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Anthropic,19,-5.0,0.00,5.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Anthropic,19,-2.0,0.00,5.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Anthropic,19,0.0,0.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Anthropic,19,2.0,0.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Anthropic,19,5.0,0.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Anthropic,19,8.0,100.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Unified,19,-8.0,0.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Unified,19,-5.0,100.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Unified,19,-2.0,100.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Unified,19,0.0,100.00,5.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Unified,19,2.0,100.00,5.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Unified,19,5.0,100.00,0.00
MM_L19_P0_dPrim20.03_dVal1.28.pt,Unified,19,8.0,100.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Evaluation,18,-8.0,0.00,10.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Evaluation,18,-5.0,0.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Evaluation,18,-2.0,0.00,5.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Evaluation,18,0.0,0.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Evaluation,18,2.0,0.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Evaluation,18,5.0,0.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Evaluation,18,8.0,0.00,5.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Anthropic,18,-8.0,0.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Anthropic,18,-5.0,0.00,5.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Anthropic,18,-2.0,0.00,5.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Anthropic,18,0.0,0.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Anthropic,18,2.0,0.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Anthropic,18,5.0,100.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Anthropic,18,8.0,100.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Unified,18,-8.0,0.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Unified,18,-5.0,0.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Unified,18,-2.0,100.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Unified,18,0.0,100.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Unified,18,2.0,100.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Unified,18,5.0,100.00,0.00
MM_L18_P0_dPrim22.88_dVal1.37.pt,Unified,18,8.0,100.00,0.00
